,Artist,Rank,Song Title,Year
0,Simon & Garfunkel,1,Bridge Over Troubled Water,1970
1,Carpenters,2,(They Long To Be) Close To You,1970
2,The Guess Who,3,American Woman/No Sugar Tonight,1970
3,B.J. Thomas,4,Raindrops Keep Fallin' On My Head,1970
4,Edwin Starr,5,War,1970
5,Diana Ross,6,Ain't No Mountain High Enough,1970
6,Jackson 5,7,I'll Be There,1970
7,Rare Earth,8,Get Ready,1970
8,The Beatles,9,Let It Be,1970
9,Freda Payne,10,Band Of Gold,1970
10,Three Dog Night,11,Mama Told Me (Not To Come),1970
11,Ray Stevens,12,Everything Is Beautiful,1970
12,Bread,13,Make It With You,1970
13,Vanity Fare,14,Hitchin' A Ride,1970
14,Jackson 5,15,ABC,1970
15,Jackson 5,16,The Love You Save/I Found That Girl,1970
16,Neil Diamond,17,Cracklin' Rosie,1970
17,Dawn,18,Candida,1970
18,Norman Greenbaum,22,Spirit In The Sky,1970
19,Melanie with The Edwin Hawkins Singers,23,Lay Down (Candles In The Rain),1970
20,The Temptations,24,Ball Of Confusion (That's What The World Is Today),1970
21,Free,26,All Right Now,1970
22,Jackson 5,28,I Want You Back,1970
23,Bobby Sherman,29,"Julie, Do Ya Love Me",1970
24,Sugarloaf,30,Green-Eyed Lady,1970
25,Blues Image,32,Ride Captain Ride,1970
26,John Ono Lennon,34,Instant Karma (We All Shine On),1970
27,Clarence Carter,35,Patches,1970
28,Creedence Clearwater Revival,36,Lookin' Out My Back Door/Long As I Can See The Light,1970
29,Brook Benton,37,Rainy Night In Georgia,1970
30,Chairmen Of The Board,39,Give Me Just A Little More Time,1970
31,Edison Lighthouse,40,Love Grows (Where My Rosemary Goes),1970
32,Anne Murray,42,SNOWBIRD,1970
33,Eddie Holman,44,Hey There Lonely Girl,1970
34,Badfinger,48,Come And Get It,1970
35,Tyrone Davis,51,Turn Back The Hands Of Time,1970
36,Mungo Jerry,53,In The Summertime,1970
37,R. Dean Taylor,54,Indiana Wants Me,1970
38,Rare Earth,55,(I Know) I'm Losing You,1970
39,Bobby Sherman,56,"Easy Come, Easy Go",1970
40,Four Tops,58,Still Water (Love),1970
41,Chicago,59,Make Me Smile,1970
42,Frijid Pink,60,House Of The Rising Sun,1970
43,Chicago,61,25 Or 6 To 4,1970
44,White Plains,62,My Baby Loves Lovin',1970
45,Brotherhood Of Man,64,United We Stand,1970
46,Carpenters,65,We've Only Just Begun,1970
47,Mark Lindsay,66,Arizona,1970
48,James Taylor,67,Fire And Rain,1970
49,Gene Chandler,68,Groovy Situation,1970
50,Santana,69,Evil Ways,1970
51,The Guess Who,70,No Time,1970
52,Elvis Presley,72,The Wonder Of You/Mama Liked The Roses,1970
53,Creedence Clearwater Revival,73,Up Around The Bend/Run Through The Jungle,1970
54,B.J. Thomas,75,I Just Can't Help Believing,1970
55,Mountain,78,Mississippi Queen,1970
56,Ike & Tina Turner & The Ikettes,79,I Want To Take You Higher,1970
57,Christie,83,Yellow River,1970
58,100 Proof Aged in Soul,84,Somebody's Been Sleeping,1970
59,Robin McNamara,87,Lay A Little Lovin' On Me,1970
60,The Supremes,88,Up The Ladder To The Roof,1970
61,Creedence Clearwater Revival,89,Travelin' Band/Who'll Stop The Rain,1970
62,The Temptations,91,Psychedelic Shack,1970
63,Tom Jones,92,Without Love (There Is Nothing),1970
64,"Crosby, Stills, Nash & Young",94,Woodstock,1970
65,Dionne Warwick,95,I'll Never Fall In Love Again,1970
66,B.B. King,98,The Thrill Is Gone,1970
67,Glen Campbell,99,It's Only Make Believe,1970
68,Aretha Franklin,100,Call Me,1970
69,Three Dog Night,1,Joy To The World,1971
70,Rod Stewart,2,Maggie May/Reason To Believe,1971
71,Carole King,3,It's Too Late/I Feel The Earth Move,1971
72,Bee Gees,5,How Can You Mend A Broken Heart,1971
73,Donny Osmond,7,Go Away Little Girl,1971
74,The Temptations,9,Just My Imagination (Running Away With Me),1971
75,Al Green,12,Tired Of Being Alone,1971
76,The Honey Cone,13,Want Ads,1971
77,Cornelius Brothers & Sister Rose,15,Treat Her Like A Lady,1971
78,The Rolling Stones,16,BROWN SUGAR,1971
79,James Taylor,17,You've Got A Friend,1971
80,Jean Knight,18,Mr. Big Stuff,1971
81,Lee Michaels,19,Do You Know What I Mean,1971
82,Joan Baez,20,The Night They Drove Old Dixie Down,1971
83,Marvin Gaye,21,What's Going On,1971
84,Paul & Linda McCartney,22,Uncle Albert/Admiral Halsey,1971
85,Five Man Electrical Band,24,Signs,1971
86,Tom Jones,25,She's A Lady,1971
87,Jerry Reed,28,Amos Moses,1971
88,Carpenters,30,Superstar,1971
89,George Harrison,31,My Sweet Lord/Isn't It A Pity,1971
90,Ocean,33,Put Your Hand In The Hand,1971
91,Carpenters,35,For All We Know,1971
92,Gordon Lightfoot,36,If You Could Read My Mind,1971
93,Sammi Smith,37,Help Me Make It Through The Night,1971
94,Jackson 5,40,Never Can Say Goodbye,1971
95,Lynn Anderson,41,Rose Garden,1971
96,"Hamilton, Joe Frank & Reynolds",42,Don't Pull Your Love,1971
97,Ringo Starr,43,It Don't Come Easy,1971
98,Nitty Gritty Dirt Band,44,Mr. Bojangles,1971
99,The Dramatics,46,Whatcha See Is Whatcha Get,1971
100,Carly Simon,47,That's The Way I've Always Heard It Should Be,1971
101,Stevie Wonder,48,If You Really Love Me,1971
102,Aretha Franklin,49,Spanish Harlem,1971
103,Aretha Franklin,52,Bridge Over Troubled Water,1971
104,Tommy James,54,Draggin' The Line,1971
105,Ike & Tina Turner,55,Proud Mary,1971
106,Chicago,56,Beginnings/Colour My World,1971
107,Stampeders,58,Sweet City Woman,1971
108,Bread,61,If,1971
109,Marvin Gaye,62,"Mercy, Mercy Me (The Ecology)",1971
110,Freda Payne,65,Bring The Boys Home,1971
111,Rare Earth,66,I Just Want To Celebrate,1971
112,Delaney & Bonnie & Friends,67,Never Ending Song Of Love,1971
113,Freddie Hart,68,Easy Loving,1971
114,Three Dog Night,69,Liar,1971
115,The Honey Cone,70,Stick-Up,1971
116,Cat Stevens,73,Wild World,1971
117,Jerry Reed,74,"When You're Hot, You're Hot",1971
118,Olivia Newton-John,76,If Not For You,1971
119,King Floyd,77,Groove Me,1971
120,Bobby Goldsboro,78,Watching Scotty Grow,1971
121,Matthews' Southern Comfort,79,Woodstock,1971
122,Judy Collins,80,Amazing Grace,1971
123,Bee Gees,82,Lonely Days,1971
124,Denise LaSalle,85,Trapped By A Thing Called Love,1971
125,Jackson 5,86,Mama's Pearl,1971
126,The Partridge Family,88,I Woke Up In Love This Morning,1971
127,Gladys Knight And The Pips,90,If I Were Your Woman,1971
128,Paul Stookey,92,Wedding Song (There Is Love),1971
129,Richie Havens,95,Here Comes The Sun,1971
130,Wadsworth Mansion,96,Sweet Mary,1971
131,Brenda & The Tabulations,97,Right On The Tip Of My Tongue,1971
132,The Doors,99,Riders On The Storm,1971
133,Perry Como,100,It's Impossible,1971
134,Gilbert O'Sullivan,2,Alone Again (Naturally),1972
135,Don McLean,3,American Pie (Parts I & II),1972
136,Nilsson,4,Without You,1972
137,Joe Tex,6,I Gotcha,1972
138,Bill Withers,7,Lean On Me,1972
139,Mac Davis,8,Baby Don't Get Hooked On Me,1972
140,Melanie,9,Brand New Key,1972
