,Artist,Rank,Song Title,Year
0,Olivia Newton-John,3,Magic,1980
1,Michael Jackson,4,Rock With You,1980
2,Captain & Tennille,5,Do That To Me One More Time,1980
3,Queen,6,Crazy Little Thing Called Love,1980
4,Lipps Inc.,8,Funkytown,1980
5,Bette Midler,10,The Rose,1980
6,Rupert Holmes,11,Escape,1980
7,Gary Numan,12,Cars,1980
8,Smokey Robinson,13,CRUISIN',1980
9,Air Supply,15,Lost In Love,1980
10,Elton John,16,Little Jeannie,1980
11,Christopher Cross,17,Ride Like The Wind,1980
12,Diana Ross,18,Upside Down,1980
13,Styx,20,Babe,1980
14,Billy Preston & Syreeta,21,With You I'm Born Again,1980
15,The Manhattans,22,Shining Star,1980
16,Commodores,23,Still,1980
17,Dr. Hook,25,Sexy Eyes,1980
18,Robbie Dupree,26,Steal Away,1980
19,Ambrosia,27,Biggest Part Of Me,1980
20,Kenny Loggins,28,This Is It,1980
21,Jermaine Jackson,30,Let's Get Serious,1980
22,Christopher Cross,32,Sailing,1980
23,Dan Fogelberg,33,Longer,1980
24,Kenny Rogers,34,Coward Of The County,1980
25,Kool & The Gang,35,Ladies Night,1980
26,Kool & The Gang,36,TOO HOT,1980
27,Kim Carnes,39,More Love,1980
28,M,40,Pop Muzik,1980
29,Pretenders,41,Brass In Pocket,1980
30,"Ray, Goodman & Brown",42,Special Lady,1980
31,Stevie Wonder,43,Send One Your Love,1980
32,Shalamar,44,The Second Time Around,1980
33,Cliff Richard,45,We Don't Talk Anymore,1980
34,The Brothers Johnson,46,Stomp,1980
35,Eagles,47,Heartache Tonight,1980
36,Rocky Burnette,48,Tired Of Toein' The Line,1980
37,Dr. Hook,49,Better Love Next Time,1980
38,Rupert Holmes,50,Him,1980
39,Donna Summer,52,On The Radio,1980
40,The Rolling Stones,53,Emotional Rescue,1980
41,Herb Alpert,54,Rise,1980
42,Air Supply,55,All Out Of Love,1980
43,Little River Band,56,Cool Change,1980
44,J.D. Souther,57,You're Only Lonely,1980
45,Andy Gibb,58,Desire,1980
46,Pete Townshend,59,Let My Love Open The Door,1980
47,Steve Forbert,60,Romeo's Tune,1980
48,Anne Murray,61,Daydream Believer,1980
49,Eagles,62,I Can't Tell You Why,1980
50,Isaac Hayes,63,Don't Let Go,1980
51,Michael Jackson,65,She's Out Of My Life,1980
52,Irene Cara,66,Fame,1980
53,Linda Ronstadt,68,How Do I Make You,1980
54,Benny Mardones,69,Into The Night,1980
55,Pure Prairie League,70,Let Me Love You Tonight,1980
56,Genesis,71,Misunderstanding,1980
57,The Dirt Band,72,An American Dream,1980
58,Carole King,73,One Fine Day,1980
59,Donna Summer,74,DIM ALL THE LIGHTS,1980
60,Billy Joel,75,You May Be Right,1980
61,Neil Sedaka & Dara Sedaka,76,Should've Never Let You Go,1980
62,Charlie Dore,77,Pilot Of The Airwaves,1980
63,Linda Ronstadt,78,Hurt So Bad,1980
64,Michael Jackson,79,Off The Wall,1980
65,Peaches & Herb,80,I Pledge My Love,1980
66,Eagles,81,The Long Run,1980
67,Mickey Gilley,82,Stand By Me,1980
68,Pat Benatar,83,Heartbreaker,1980
69,Eddie Rabbitt,85,Drivin' My Life Away,1980
70,Supertramp,86,Take The Long Way Home,1980
71,Fleetwood Mac,87,Sara,1980
72,Boz Scaggs,89,Jo Jo,1980
73,Neil Diamond,90,September Morn',1980
74,George Benson,91,Give Me The Night,1980
75,Anne Murray,92,Broken Hearted Me,1980
76,Kenny Rogers,93,You Decorated My Life,1980
77,Fleetwood Mac,94,Tusk,1980
78,Prince,95,I Wanna Be Your Lover,1980
79,The Charlie Daniels Band,96,In America,1980
80,Boz Scaggs,97,Breakdown Dead Ahead,1980
81,Barry Manilow,98,Ships,1980
82,Joe Walsh,99,All Night Long,1980
83,Kim Carnes,1,Bette Davis Eyes,1981
84,Kenny Rogers,3,Lady,1981
85,John Lennon,4,Starting Over,1981
86,Rick Springfield,5,Jessie's Girl,1981
87,Kool & The Gang,6,Celebration,1981
88,Eddie Rabbitt,8,I Love A Rainy Night,1981
89,Dolly Parton,9,9 To 5,1981
90,REO Speedwagon,10,Keep On Loving You,1981
91,Sheena Easton,12,Morning Train,1981
92,Smokey Robinson,13,Being With You,1981
93,Juice Newton,14,Queen Of Hearts,1981
94,Blondie,15,Rapture,1981
95,Ray Parker Jr. & Raydio,16,A Woman Needs Love,1981
96,Blondie,17,The Tide Is High,1981
97,"Grover Washington, Jr. With Bill Withers",18,Just The Two Of Us,1981
98,The Pointer Sisters,19,Slow Hand,1981
99,Climax Blues Band,20,I Love You,1981
100,John Lennon,21,Woman,1981
101,A Taste Of Honey,22,Sukiyaki,1981
102,ABBA,23,The Winner Takes It All,1981
103,Stars On 45,24,Medley,1981
104,Neil Diamond,26,Love On The Rocks,1981
105,Air Supply,27,Every Woman In The World,1981
106,Air Supply,28,The One That You Love,1981
107,Barbra Streisand & Barry Gibb,29,Guilty,1981
108,Styx,30,The Best Of Times,1981
109,The Oak Ridge Boys,31,Elvira,1981
110,REO Speedwagon,32,Take It On The Run,1981
111,Barbra Streisand,35,Woman In Love,1981
112,Foreigner,37,URGENT,1981
113,Rod Stewart,38,Passion,1981
114,Commodores,39,Lady (You Bring Me Up),1981
115,Don McLean,40,Crying,1981
116,Marty Balin,41,Hearts,1981
117,Diana Ross,42,It's My Turn,1981
118,Kenny Rogers,44,I Don't Need You,1981
119,Champaign,45,How 'bout Us,1981
120,Pat Benatar,46,Hit Me With Your Best Shot,1981
121,The Alan Parsons Project,48,Time,1981
122,Bruce Springsteen,49,Hungry Heart,1981
123,Franke & The Knockouts,50,Sweetheart,1981
124,Terri Gibbs,51,Somebody's Knockin',1981
125,Leo Sayer,52,More Than I Can Say,1981
126,Tierra,53,Together,1981
127,Styx,54,Too Much Time On My Hands,1981
128,Dottie West,55,What Are We Doin' In Love,1981
129,Journey,56,Who's Crying Now,1981
130,The Police,57,"De Do Do Do, De Da Da Da",1981
131,Gary U.S. Bonds,58,This Little Girl,1981
132,Stevie Nicks With Tom Petty And The Heartbreakers,59,Stop Draggin' My Heart Around,1981
133,Delbert McClinton,60,Giving It Up For Your Love,1981
134,Cliff Richard,61,A Little In Love,1981
135,Neil Diamond,62,America,1981
136,John Cougar,63,Ain't Even Done With The Night,1981
137,Christopher Cross,64,Arthur's Theme,1981
138,Queen,65,Another One Bites The Dust,1981
139,The Alan Parsons Project,66,Games People Play,1981
140,Steve Winwood,68,While You See A Chance,1981
141,Stevie Wonder,69,Master Blaster,1981
142,Neil Diamond,70,Hello Again,1981
143,The Police,71,Don't Stand So Close To Me,1981
144,Steely Dan,72,Hey Nineteen,1981
145,Stevie Wonder,73,I Ain't Gonna Stand For It,1981
146,George Harrison,74,All Those Years Ago,1981
147,Eddie Rabbitt,75,Step By Step,1981
148,Billy Squier,76,THE STROKE,1981
149,Alabama,77,Feels So Right,1981
